"StudyID","VCs","Traits","Crops","Country_std","Analysis_std","Software_std","Analysis_category","Analysis_group","Software_category","Software_group","Country_category","Country_group"
4774,"Farmer/grower","Color; Milling/processing quality; End-use quality (baking, malting, etc.)","Finger millet","Ethiopia","ANOVA","SAS","Hypothesis_Testing","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
4774,"Farmer/grower","Color; Milling/processing quality; End-use quality (baking, malting, etc.)","Finger millet","Ethiopia","Pair-wise rankings","SAS","Rank_choice","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
3326,"Consumer; Chef/brewer/home cook","Micronutrients; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Pearl millet","Burkina Faso","ANOVA","Statgraphics","Hypothesis_Testing","statistical inference","Statgraphics","Paid_proprietary","West_Africa","Africa"
3326,"Consumer; Chef/brewer/home cook","Micronutrients; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Pearl millet","Burkina Faso","Fisher's LSD","Statgraphics","Hypothesis_Testing","statistical inference","Statgraphics","Paid_proprietary","West_Africa","Africa"
3326,"Consumer; Chef/brewer/home cook","Micronutrients; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Pearl millet","Burkina Faso","Friedman Test","Statgraphics","Hypothesis_Testing","statistical inference","Statgraphics","Paid_proprietary","West_Africa","Africa"
3063,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.)","Sorghum","India","ANOVA","GenStat","Hypothesis_Testing","statistical inference","GenStat","Paid_proprietary","South_Asia","Asia"
3063,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.)","Sorghum","India","Fisher's LSD","GenStat","Hypothesis_Testing","statistical inference","GenStat","Paid_proprietary","South_Asia","Asia"
3044,"Farmer/grower","Color","Sorghum","Namibia","Chi-Square Analysis","SPSS","Hypothesis_Testing","statistical inference","SPSS","Paid_proprietary","Southern_Africa","Africa"
3044,"Farmer/grower","Color","Sorghum","Namibia","Pair-wise rankings","SPSS","Rank_choice","statistical inference","SPSS","Paid_proprietary","Southern_Africa","Africa"
1831,"Farmer/grower; Consumer; Processor/miller; Chef/brewer/home cook","Size and shape; Starch, protein, tannins, fiber, and/or fat; Color; Grain morphology (e.g. pericarp thickness); Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.); Storability; Other: germination, medicinal","Sorghum","Benin","ANOVA","SPSS","Hypothesis_Testing","statistical inference","SPSS","Paid_proprietary","West_Africa","Africa"
1831,"Farmer/grower; Consumer; Processor/miller; Chef/brewer/home cook","Size and shape; Starch, protein, tannins, fiber, and/or fat; Color; Grain morphology (e.g. pericarp thickness); Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.); Storability; Other: germination, medicinal","Sorghum","Benin","ANOVA","WinStat","Hypothesis_Testing","statistical inference","WinStat","Paid_proprietary","West_Africa","Africa"
