"pattern","canonical"
"genstat","GenStat"
"xlstat|xl stat|excel","Excel/XLSTAT"
"stata","Stata"
"spss","SPSS"
"\bsas\b","SAS"
"^r$|rstudio|(^|[ ,;/])r([ ,;/]|$)","R"
"sphinx","Sphinx"
"minitab","MINITAB"
"statgraphics","Statgraphics"
"statistica","STATISTICA"
"s\s*plus|s-plus|splus","S-PLUS"
"winstat|win stat|stat win","WinStat"
"vbs|food calculation","VBS"
"plabstat","PLABSTAT"
"statistix","Statistix"
"maxqda|\bqda\b","QDA/MaxQDA"
"gretl","GRETL"
"mstatc","MSTATC"
"ntsys","NTSYS"
"mgene","MGENE"
"irristat","IRRISTAT"
"ngene","Ngene"
"nlogit","NLOGIT"
"^no$|not reported","Not reported"
