Covidence #,Study ID,Title,Reviewer Name,DOI,Title,Journal/Publisher,Publication Date,Publication Type,Country,Time of study,Objectives,Location(s),Crop(s) studied,Type of study,How were preferences determined?,List any specific scales or methods named,How was data analyzed?,Was a statistical software used?,Size of study/respondents,Value chain actors included,Grain quality traits included,Varieties listed/mentioned?,End uses mentioned,Detailed preferences discussed in the study:,1 Crop,1 Location,1 VC Actor,1 Trait,1 Preference,1 Disaggregation,1 Statistic,2 Crop,2 Location,2 VC Actor,2 Trait,2 Preference,2 Disaggregation,2 Statistic,3 Crop,3 Location,3 VC Actor,3 Trait,3 Preference,3 Disaggregation,3 Statistic,4 Crop,4 Location,4 VC Actor,4 Trait,4 Preference,4 Disaggregation,4 Statistic,5 Crop,5 Location,5 VC Actor,5 Trait,5 Preference,5 Disaggregation,5 Statistic,6 Crop,6 Location,6 VC Actor,6 Trait,6 Preference,6 Disaggregation,6 Statistic,7 Crop,7 Location,7 VC Actor,7 Trait,7 Preference,7 Disaggregation,7 Statistic,8 Crop,8 Location,8 VC Actor,8 Trait,8 Preference,8 Disaggregation,8 Statistic,9 Crop,9 Location,9 VC Actor,9 Trait,9 Preference,9 Disaggregation,9 Statistic,10 Crop,10 Location,10 VC Actor,10 Trait,10 Preference,10 Disaggregation,10 Statistic,Disaggregating variables,Explanation for any disaggregation,Key findings
4917,Missihoun 2012,Gestion traditionnelle et statut des ressources génétiques du sorgho (Sorghum bicolor L. Moench) au Nord-Ouest du Bénin,Consensus,10.4314/ijbcs.v6i3.8,Gestion traditionnelle et statut des ressources génétiques du sorgho (Sorghum bicolor L. Moench) au Nord-Ouest du Bénin ,International Journal of Biological and Chemical Sciences,June 2012,Research article,Benin,December 2010,Mostly to record local varieties of sorghum and their characteristics. Also to document some preferences for sorghum traits.,Donga Department in the North-west of Benin,Sorghum,Qualitative study,Interview; Focus group; Observations,"","descriptive statistics, quadrant analysis method",SAS,108 households,Farmer/grower,"Size and shape; Color; Hardness; Grain morphology (e.g. pericarp thickness); Milling/processing quality; End-use quality (baking, malting, etc.)",Yes,Staple Food Preparation; Porridges and Beverages; Semolina and Flour,"",Sorghum,Benin,Farmer,Color,red for beer,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in Benin prefer red sorghum grains.
4774,Tarekegne 2019,"Performance and Participatory Variety Evaluation of Finger Millet [Eleusine coracana (L.) Gaertn] Varieties in West Gojam Zone, Northwest Ethiopia",Consensus,"","Performance and Participatory Variety Evaluation of Finger Millet [Eleusine coracana (L.) Gaertn] Varieties in West Gojam Zone, Northwest Ethiopia",East African Journal of Sciences,2019,Research article,Ethiopia,2013,identify farmers’ selection criteria/parameters for finger millet genetic improvement; and select high yielding varieties through participatory variety selection approach,"Adet and Koga, Yilmana-Densa and Mecha Districts in West Gojam Zone",Finger millet,Mixed methods,Focus group; Ranking; Hedonic scale; Participatory plant breeding; Observations,Duncan’s Multiple Range Test (DMRT),"ANOVA, pairwise ranking and direct matrix procedure",SAS,30-90,Farmer/grower,"Color; Milling/processing quality; End-use quality (baking, malting, etc.)",Yes,Injera Making; Bread Making; Local Beer (Arki),"",Finger Millet,Ethiopia,Farmer,Color,White for injera making,"Important to women farmers, particularly those from Adet","",Finger Millet,Ethiopia,Farmer,Color,"Black for beer, arki, and bread making","Important to women farmers, particularly those from Adet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Gender; Location/geography,Men focus more on yield related traits,"Farmers in Ethiopia value different colors of finger millet for different end uses. White for injera and sale, black for beer and bread."
4683,Hamid 2025,Sensory profiling of traditional Sorghum porridge (Aceda): advancing nutritious and culturally accepted biofortified products,Consensus,10.3389/fsufs.2025.1578353,Sensory profiling of traditional Sorghum porridge (Aceda): advancing nutritious and culturally accepted biofortified products,Frontiers in Sustainable Food Systems ,17 June 2025,Research article,Sudan ,"","This study aimed to link key sensory descriptors with consumer preferences using advanced sensory evaluation methods, thereby supporting the development of nutritionally enhanced Aceda products that align with culturally accepted preparation and consumption practices.",Al-Gadareif State ,Sorghum,Experimental study,Hedonic scale; Sensory evaluation/taste testing,STATIS method ,"internal preference mapping, intelligence pivot table, agglomerative hierarchical clustering, PCA, PLSR",Other: XLSTAT,28,Consumer,"Micronutrients; Color; Sensory (aroma, taste, appearance, etc.)",Yes,Aceda porridge,"",Sorghum,Sudan,Consumer,Color,"white for urban, red for rural",rural vs urban,"",Sorghum,Sudan,Consumer,texture/carbohydrate,firm,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Gender; Age; Education,"",Consumers in Sudan prefer aceda made from white sorghum with high levels of carbohydrates for firmness.
4247,Pant 2010,Beyond Biodiversity: Culture in Agricultural Biodiversity Conservation in the Himalayan Foothills,Consensus,10.1007/978-90-481-8826-0_4,Beyond Biodiversity: Culture in Agricultural Biodiversity Conservation in the Himalayan. Foothills,Springer Science Business Media,2010,"Other: Case study, Book",Nepal,"",This chapter explores the cultural dimensions of agricultural biodiversity conservation through a case study of the relationships between caste-based food traditions and local varieties of rice and finger millet managed by smallholder subsistence farmers in the Himalayan foothills of western Nepal.,"villages of Rupakot and Begnas in Kaski district, which is in the foothills of the Annapurna Himalaya",Finger millet,Qualitative study,Interview; Focus group; Survey/questionnaire; Observations,"","",No/not reported,78 households for survey,Farmer/grower; Consumer; Chef/brewer/home cook; Other: Service providers,"Size and shape; Color; End-use quality (baking, malting, etc.)",Yes,"roti (bread), puwa (flour-based), dhindo (porridge), jand (beer), rakshi (alcohol)","",Finger millet,Nepal,Consumers,color,White,"","",Finger millet,Nepal,"home brewer, consumer",Size,large,"","",Finger millet ,Nepal,"home brewer, consumer",brewing quality,higher alcohol recovery ,Matwali (lower caste that drinks alcohol),"",Finger millet,Nepal,Consumer,Food quality,good,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Class/income,"Different castes have different traditions and foods, leading to different preferences.",Large white grains are preferred by Matwali consumers in Nepal
3920,VanOosterhout 1993,Sorghum genetic resources of small-scale farmers in Zimbabwe,Consensus,"",Sorghum genetic resources of small-scale farmers in Zimbabwe,Intermediate Technology Publications,1993,Book,Zimbabwe,"",To highlight the choices made by small-scale farmers and to build upon the existing wealth of genetic diversity by providing recommendations which are more appropriate to the conditions under which small-scale farmers grow and select their sorghum varieties,"Musikavanhu, Gokwe and Siabuwa ",Sorghum,Qualitative study,Interview; Survey/questionnaire,"",Matrix ranking,No/not reported,"",Farmer/grower,"Color; Grain morphology (e.g. pericarp thickness); Milling/processing quality; End-use quality (baking, malting, etc.); Storability",Yes,"Beer, Sadza","",Sorghum,Zimbabwe,Farmer/grower,endosperm texture,"hard, conneous","","",Sorghum,Zimbabwe,Farmer/grower,grain color/tannins ,White,"Gender, tannin rich considered 'man's' crop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Gender,"Men's variety requires much less work, 
since its tannin-rich grains are unattractive to birds.",hard endosperm is preferred. Men will choose tannin rich because less labor.
3537,Bossuet 2015,Selection by taste,Consensus,"",Selection by taste,Appropriate Technology,2015,Report,Mali,"",Evaluate To Colour preferences in Mali,"Mpessoba, Mali",Sorghum,Experimental study,Hedonic scale; Sensory evaluation/taste testing; Cooking quality test,"","",No/not reported,"",Consumer; Chef/brewer/home cook,Color; Grain morphology (e.g. pericarp thickness); Milling/processing quality,No,Tô,"",Sorghum,Mali,home cook,decortication,easy,"","",Sorghum,Mali,home cook,Color,"White, yellow, red, not black or purple","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Women in Mali prefer sorghum that is easy to process and decorticate and is not black or purple
3326,Hama-Ba 2019,Traditional African Dishes Prepared From Local Biofortified Varieties of Pearl Millet: Acceptability and Potential Contribution to Iron and Zinc Intakes of Burkinabe Young Children,Consensus,10.3389/fnut.2019.00115,"Traditional African Dishes Prepared From Local Biofortified Varieties of Pearl Millet: Acceptability and
Potential Contribution to Iron and Zinc Intakes of Burkinabe Young Children",Frontiers in Nutrition,14 August 2019,Research article,Burkina Faso,"","assess the acceptability, by usual consumers from Ouagadougou (Burkina Faso), of traditional dishes (tô paste, pancakes, and gruel) prepared with two biofortified varieties",Ouagadougou,Pearl millet,Mixed methods,Ranking; Hedonic scale; Sensory evaluation/taste testing; Cooking quality test,"","ANOVA, Fischer's LSD, Friedman test, rank sum multiple comparison test",Other: Statgraphics Plus,"9 cooks, 24 tasters",Consumer; Chef/brewer/home cook,"Micronutrients; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",Yes,"Tô, pancakes, gruel","",Pearl Millet,Burkina Faso,Consumer,Color,darker,"","",Pearl Millet,Burkina Faso,Cooks,Hardness,Harder,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","improvement of some sensory parameters of the biofortified millet varieties used in this study, such as color or processing changes, would be advisable. "
3122,Hambloch 2021,Contextualizing private sector-based seed system development: The case of sorghum in Eastern Africa,Consensus,10.1177/0030727021 1056357,Contextualizing private sector-based seed system development: The case of sorghum in Eastern Africa,Outlook on Agriculture,2021,Case study,"Kenya, Uganda, Tanzania","",Challenge notion farmers adopt improved varieties Over local,"",Sorghum,Qualitative study,Interview,"",Coding,Other: MaxQDA,36,Farmer/grower; Processor/miller; Distribution/retailer/trader; Chef/brewer/home cook; Other: Government ,"Color; Sensory (aroma, taste, appearance, etc.)",No,ugali ; porridge ; bread ; local brew ,"",Sorghum,"Kenya, Uganda, Tanzania ",farmer/consumer,Color,brown,"","",Sorghum,"Kenya, Uganda, Tanzania","farmer, brewer",Sweetness,"Unsweet, brewers provide Sweet",brewers prefer sweet,"",Sorghum,"Kenya, Uganda, Tanzania",brewer,Color,White,not preferred by farmers,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Value chain position,"","Sorghum farmers prefer brown grain but brewers prefer white in Kenya, Uganda, and Tanzania."
3063,Anbazhagan 2022,"Dual-Purpose Sorghum: A Targeted Sustainable Crop-Livestock Intervention for the Smallholder Subsistence Farming Communities of Adilabad, India",Consensus,10.3389/fsufs.2022.742909,"Dual-Purpose Sorghum: A Targeted Sustainable Crop-Livestock Intervention for the Smallholder Subsistence Farming Communities of Adilabad, India",Frontiers in Sustainable Food Systems,24 March 2022,Research article,India,2017-2020,(i) defining the socio-economic context of the existing cropping systems in Adilabad District; (ii) assessing local farmers’ preferences and selecting suitable sorghum varieties; and (iii) designing farmer participatory approaches (FPAs) to enable successful transfer of improved sorghum varieties to overcome crop adoption barriers,"Adilabad District, Telangana, India",Sorghum,Mixed methods,Interview; Focus group; Survey/questionnaire; Participatory plant breeding,"","ANOVA, Fisher's unprotected LSD",Other: GenStat® 18th edition,124,Farmer/grower; Consumer,"Size and shape; Sensory (aroma, taste, appearance, etc.)",Yes,"roti, upma","",Sorghum,India,Farmer/grower,grain size,bold,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in India prefer bold grains
3044,Wanga 2022,Sorghum Production in Northern Namibia: Farmers’ Perceived Constraints and Trait Preferences,Consensus,https://doi.org/10.3390/su141610266,Sorghum Production in Northern Namibia: Farmers’ Perceived Constraints and Trait Preferences,sustainability,18 August 2022,Research article,Namibia,2020-2021,To assess the present state of sorghum production in northern Namibia and document farmers’ perceived production constraints and trait preferences in new varieties to guide drought-tolerance breeding.,"Kavango West, Ohangwena, and Zambezi regions",Sorghum,Qualitative study,Interview; Focus group; Survey/questionnaire; Ranking; Observations,"","Chi^2, pairwise rankings",SPSS,198,Farmer/grower,Color,Yes,"flour, porridge, beverages","",Sorghum,Namibia,Farmers,Grain color,"White (porridge, non-alcholic beverages)","","",Sorghum,Namibia,Farmers,Grain color,Red (local beverages non-alcoholic and alcoholic),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in Namibia prefer white sorghum for food and red sorghum for alcoholic beverages.
