"raw_term","category","group","domain"
NA,NA,"Descriptive_Statistics","Analysis"
NA,"Cross_Tabulation","Descriptive_Statistics","Analysis"
NA,"Deviations_ratio","Descriptive_Statistics","Analysis"
NA,"Frequency","Descriptive_Statistics","Analysis"
NA,"Mean","Descriptive_Statistics","Analysis"
NA,"Pivot_Table","Descriptive_Statistics","Analysis"
NA,"Rank_Index","Descriptive_Statistics","Analysis"
NA,NA,"Economic_Analysis","Analysis"
NA,"Cost-benefit_ratios","Economic_Analysis","Analysis"
NA,"Gross_margin_analysis","Economic_Analysis","Analysis"
NA,"Partial_budgeting","Economic_Analysis","Analysis"
NA,NA,"Multivariate_Analysis","Analysis"
NA,"AMMI","Multivariate_Analysis","Analysis"
NA,"Dimension_Reduction","Multivariate_Analysis","Analysis"
"Correspondence Analysis","Dimension_Reduction","Multivariate_Analysis","Analysis"
"Principal Component Analysis","Dimension_Reduction","Multivariate_Analysis","Analysis"
"Principal Coordinates Analysis","Dimension_Reduction","Multivariate_Analysis","Analysis"
NA,"Stability Analysis","Multivariate_Analysis","Analysis"
NA,NA,"statistical inference","Analysis"
NA,"Hypothesis_Testing","statistical inference","Analysis"
"ANOVA","Hypothesis_Testing","statistical inference","Analysis"
"Chi-Square Analysis","Hypothesis_Testing","statistical inference","Analysis"
"Diversity Index Analysis","Hypothesis_Testing","statistical inference","Analysis"
"F-test","Hypothesis_Testing","statistical inference","Analysis"
"Fisher's LSD","Hypothesis_Testing","statistical inference","Analysis"
"Friedman Test","Hypothesis_Testing","statistical inference","Analysis"
"Kruskal-Wallis Test","Hypothesis_Testing","statistical inference","Analysis"
"LSD","Hypothesis_Testing","statistical inference","Analysis"
"Mann-Whitney Test","Hypothesis_Testing","statistical inference","Analysis"
"Newman-Keuls","Hypothesis_Testing","statistical inference","Analysis"
"Normality Test","Hypothesis_Testing","statistical inference","Analysis"
"Perception Test","Hypothesis_Testing","statistical inference","Analysis"
"Rank_Sum_Multiple_Comparison","Hypothesis_Testing","statistical inference","Analysis"
"t-test","Hypothesis_Testing","statistical inference","Analysis"
"Tukey's HSD Test","Hypothesis_Testing","statistical inference","Analysis"
"Wald Test","Hypothesis_Testing","statistical inference","Analysis"
"Wilcoxon_Test","Hypothesis_Testing","statistical inference","Analysis"
"Cochran\'s_Q","Hypothesis_Testing","statistical inference","Analysis"
NA,"Model_Evaluation","statistical inference","Analysis"
"Cross-validation","Model_Evaluation","statistical inference","Analysis"
"MLE","Model_Evaluation","statistical inference","Analysis"
NA,"Classification_clustering","statistical inference","Analysis"
"Categorical_classification_trees","Classification_clustering","statistical inference","Analysis"
"Cluster Analysis","Classification_clustering","statistical inference","Analysis"
"Latent_class_model","Classification_clustering","statistical inference","Analysis"
"Qualitative_Thematic Analysis","Classification_clustering","statistical inference","Analysis"
NA,"Correlation_Association","statistical inference","Analysis"
"Correlation Analysis","Correlation_Association","statistical inference","Analysis"
"Kendall Correlation_Concordance","Correlation_Association","statistical inference","Analysis"
"Pearson_Correlation","Correlation_Association","statistical inference","Analysis"
"Spearman Correlation","Correlation_Association","statistical inference","Analysis"
NA,"Rank_choice","statistical inference","Analysis"
"Bradley-Terry-Luce Model","Rank_choice","statistical inference","Analysis"
"Conjoint Analysis","Rank_choice","statistical inference","Analysis"
"Dominance_analysis","Rank_choice","statistical inference","Analysis"
"Garrett_Ranking_Test","Rank_choice","statistical inference","Analysis"
"Location Analysis","Rank_choice","statistical inference","Analysis"
"Multiple Factor Analysis","Rank_choice","statistical inference","Analysis"
"Pair-wise rankings","Rank_choice","statistical inference","Analysis"
"Sensory Multivariate Analysis","Rank_choice","statistical inference","Analysis"
NA,"Regression_Predictive_Modeling","statistical inference","Analysis"
"Bernoulli","Regression_Predictive_Modeling","statistical inference","Analysis"
"Conditional Logit Model","Regression_Predictive_Modeling","statistical inference","Analysis"
"Linear_Regression","Regression_Predictive_Modeling","statistical inference","Analysis"
"Logistic Regression","Regression_Predictive_Modeling","statistical inference","Analysis"
"marginal analysis","Regression_Predictive_Modeling","statistical inference","Analysis"
"Mixed Logit Model","Regression_Predictive_Modeling","statistical inference","Analysis"
"OLS Regression","Regression_Predictive_Modeling","statistical inference","Analysis"
"Partial_Least_Squares_Regression","Regression_Predictive_Modeling","statistical inference","Analysis"
"Path_Regression","Regression_Predictive_Modeling","statistical inference","Analysis"
"Probit Model","Regression_Predictive_Modeling","statistical inference","Analysis"
