"sub_term","raw_term","category","group","domain"
NA,NA,NA,"Descriptive_Statistics","Analysis"
NA,NA,"Cross_Tabulation","Descriptive_Statistics","Analysis"
NA,NA,"Deviations_ratio","Descriptive_Statistics","Analysis"
NA,NA,"Frequency","Descriptive_Statistics","Analysis"
NA,NA,"Mean","Descriptive_Statistics","Analysis"
NA,NA,"Pivot_Table","Descriptive_Statistics","Analysis"
NA,NA,"Rank_Index","Descriptive_Statistics","Analysis"
NA,NA,NA,"Economic_Analysis","Analysis"
NA,NA,"Cost-benefit_ratios","Economic_Analysis","Analysis"
NA,NA,"Gross_margin_analysis","Economic_Analysis","Analysis"
NA,NA,"Partial_budgeting","Economic_Analysis","Analysis"
NA,NA,NA,"Multivariate_Analysis","Analysis"
NA,NA,"AMMI","Multivariate_Analysis","Analysis"
NA,NA,"Dimension_Reduction","Multivariate_Analysis","Analysis"
NA,"Correspondence Analysis","Dimension_Reduction","Multivariate_Analysis","Analysis"
NA,"Principal Component Analysis","Dimension_Reduction","Multivariate_Analysis","Analysis"
NA,"Principal Coordinates Analysis","Dimension_Reduction","Multivariate_Analysis","Analysis"
NA,NA,"Stability Analysis","Multivariate_Analysis","Analysis"
NA,NA,NA,"statistical inference","Analysis"
NA,NA,"Hypothesis_Testing","statistical inference","Analysis"
NA,"ANOVA","Hypothesis_Testing","statistical inference","Analysis"
NA,"Chi-Square Analysis","Hypothesis_Testing","statistical inference","Analysis"
NA,"Diversity Index Analysis","Hypothesis_Testing","statistical inference","Analysis"
NA,"F-test","Hypothesis_Testing","statistical inference","Analysis"
NA,"Fisher's LSD","Hypothesis_Testing","statistical inference","Analysis"
NA,"Friedman Test","Hypothesis_Testing","statistical inference","Analysis"
NA,"Kruskal-Wallis Test","Hypothesis_Testing","statistical inference","Analysis"
NA,"LSD","Hypothesis_Testing","statistical inference","Analysis"
NA,"Mann-Whitney Test","Hypothesis_Testing","statistical inference","Analysis"
NA,"Newman-Keuls","Hypothesis_Testing","statistical inference","Analysis"
NA,"Normality Test","Hypothesis_Testing","statistical inference","Analysis"
NA,"Perception Test","Hypothesis_Testing","statistical inference","Analysis"
NA,"Rank_Sum_Multiple_Comparison","Hypothesis_Testing","statistical inference","Analysis"
NA,"t-test","Hypothesis_Testing","statistical inference","Analysis"
NA,"Tukey's HSD Test","Hypothesis_Testing","statistical inference","Analysis"
NA,"Wald Test","Hypothesis_Testing","statistical inference","Analysis"
NA,"Wilcoxon_Test","Hypothesis_Testing","statistical inference","Analysis"
NA,"Cochran\'s_Q","Hypothesis_Testing","statistical inference","Analysis"
NA,NA,"Model_Evaluation","statistical inference","Analysis"
NA,"Cross-validation","Model_Evaluation","statistical inference","Analysis"
NA,"MLE","Model_Evaluation","statistical inference","Analysis"
NA,NA,"Classification_clustering","statistical inference","Analysis"
NA,"Categorical_classification_trees","Classification_clustering","statistical inference","Analysis"
NA,"Cluster Analysis","Classification_clustering","statistical inference","Analysis"
NA,"Latent_class_model","Classification_clustering","statistical inference","Analysis"
NA,"Qualitative_Thematic Analysis","Classification_clustering","statistical inference","Analysis"
NA,NA,"Correlation_Association","statistical inference","Analysis"
NA,"Correlation Analysis","Correlation_Association","statistical inference","Analysis"
NA,"Kendall Correlation_Concordance","Correlation_Association","statistical inference","Analysis"
NA,"Pearson_Correlation","Correlation_Association","statistical inference","Analysis"
NA,"Spearman Correlation","Correlation_Association","statistical inference","Analysis"
NA,NA,"Rank_choice","statistical inference","Analysis"
NA,"Bradley-Terry-Luce Model","Rank_choice","statistical inference","Analysis"
NA,"Conjoint Analysis","Rank_choice","statistical inference","Analysis"
NA,"Dominance_analysis","Rank_choice","statistical inference","Analysis"
NA,"Garrett_Ranking_Test","Rank_choice","statistical inference","Analysis"
NA,"Location Analysis","Rank_choice","statistical inference","Analysis"
NA,"Multiple Factor Analysis","Rank_choice","statistical inference","Analysis"
NA,"Pair-wise rankings","Rank_choice","statistical inference","Analysis"
NA,"Sensory Multivariate Analysis","Rank_choice","statistical inference","Analysis"
NA,NA,"Regression_Predictive_Modeling","statistical inference","Analysis"
NA,"Bernoulli","Regression_Predictive_Modeling","statistical inference","Analysis"
NA,"Conditional Logit Model","Regression_Predictive_Modeling","statistical inference","Analysis"
