pattern,canonical
pleasant,good
pleasant,good
"Popcorn/peanut, not rancid",Popcorn/peanut
Odorless,Unscented
good,good
unscented,Unscented
unscented,Unscented
enhanced,high
enhanced,high
good,good
good,good
high,high
high,high
higher alcohol recovery,high alcohol
higher alcohol recovery,high alcohol
good,good
good,good
good,good
good,good
makes good yeast,makes yeast
produces sugary wort,makes sugary wort
produces sugary wort,makes sugary wort
produces sugary wort,makes sugary wort
produces sugary wort,makes sugary wort
Easy to brew,easy
Easy to brew,easy
firm,Firm
"high, 75.2 – 76.1% and 79.1 – 83.54%",high
easy,easy
easy,easy
good,good
fluency,fluent
fluency,fluent
Easy to cook,easy
Easy to cook,easy
cause of cooking,easy
cause of cooking,easy
cause of cooking,easy
cause of cooking,easy
Shorter,short
Shorter,short
lower,low
easy,easy
digestible and absorbable,high
absorbs water,able
absorbs water,able
Suitable for brewing,suitable
Suitable for brewing,suitable
Adapted for Tô/Dolo production,suitable
Adapted for Tô/Dolo production,suitable
better food quality,good
better food quality,good
"soft, white, delicious",soft 
"soft, white, delicious",white/light
good for tortillas,good
"hard, conneous",hard/corneous
"hard, conneous",hard/corneous
floury,soft/floury
floury,soft/floury
floury,soft/floury
Corneous,hard/corneous
Corneous,hard/corneous
vitreous,hard/corneous
vitreous,hard/corneous
good,good
Good,good
good,good
good,good
high,high
high,high
high,high
high,high
"at least both, prefer more semolina than flour",more semolina than flour
"at least both, prefer more semolina than flour",more semolina than flour
Good flour quality,good
Good flour quality,good
Good flour quality,good
fine texture,fine texture
fine texture,fine texture
high,high yield
high,high yield
"fine flour, not coarse",fine texture
high,high yield
high,high yield
high,high yield
high,high yield
good,good
good,good
good,good
good,good
good,good
good,good
Good roti quality,good
Good roti quality,good
good,good
high,high
high,high
high,high
high,high
quickly,quick
quickly,quick
quickly germinate,quick
quickly germinate,quick
4.06-4.65 mm and 3.36 to 3.65 mm,4.06-4.65 mm and 3.36 to 3.65 mm
larger,large
"Small, non-pigmented",small
"Small, non-pigmented",small
absent or thin non-pigmented,absent
absent or thin non-pigmented,absent
round,round
Tapered cylinder,cylinder
Round,round
Round,round
Round over oval,round
Round over oval,round
Round over oval,oval
Round over oval,oval
obviate,obovate
obviate,obovate
large,large
large,large
bold,large
bold,large
large,large
large,large
medium-large,large
bold,large
bold,large
large,large
large,large
large,large
large,large
large,large
bold,large
Large,large
"Small, dark seeds are disliked",small
big,large
big,large
big,large
larger,large
larger,large
Large,large
large,large
large,large
smaller,small
smaller,small
smaller,small
large,large
large,large
bold,large
Big/large seeds,large
Big/large seeds,large
large,large
large,large
Large,large
large,large
large,large
big,large
big,large
Smaller,small
large,large
large,large
Large size and mass,large
large,large
large,large
large,large
large,large
large,large
large,large
larger,large
larger,large
Large,large
Large,large
big and heavy,large
Large,large
Large,large
bold,large
bold,large
bold,large
bold,large
Large,large
Large,large
bold,large
large,large
bold/large,large
bold/large,large
"bold, large",large
"bold, large",large
"bold, large",large
"bold, large",large
"bold, large",large
"bold, large",large
"bold, large",large
"bold, large",large
Bold/large,large
Bold/large,large
large,large
large,large
"large in Ajmer, smaller in Bikaner",large
"large in Ajmer, smaller in Bikaner",large
large,large
large,large
big,large
"small, hard grains",small
"small, hard grains",small
Large,large
Large,large
Large,large
large,large
Big grains,large
Big grains,large
large,large
large,large
larger grains,large
larger grains,large
Large grains,large
large,large
large,large
larger,large
larger,large
large,large
large,large
large,large
large,large
large,large
medium,medium
medium,medium
large,large
Large,large
easy,easy
easy,easy
easy,easy
easy,easy
Harder,hard
soft consistency when cooked,soft
soft consistency when cooked,soft
soft consistency when cooked,soft
Hard,hard
harder,hard
hard,hard
hard,hard
hard,hard
hard,hard
hard,hard
hard,hard
hard,hard
Hard,hard
Hard,hard
Hard,hard
Hard,hard
Women disliked lack of vitreousness in very large white grains,white/light
Women disliked lack of vitreousness in very large white grains,hard/corneous
"small, hard grains",small
"small, hard grains",small
Hard,hard
hard,hard
hard,hard
hard,hard
hard,hard
Higher iron,high
Higher iron,high
Higher iron,high
High iron,high
High Iron,high
High Iron,high
High Iron,high
non-biofortified,non-biofortified
Good germination,good
good water holding capacity,good
good water holding capacity,good
"easy, good flour yield",good
"easy, good flour yield",good
good,good
easy-to-grind,easy
easy-to-grind,easy
high percentage of corneous endosperm,hard
high percentage of corneous endosperm,hard
Ease of polishing preferred,easy
Ease of polishing preferred,easy
High amount and quality of flour produced,high
High amount and quality of flour produced,high
"Easy to dehull and crush, thin pericarp",easy
"Easy to dehull and crush, thin pericarp",easy
thin and soft bran,soft/thin
thin and soft bran,soft/thin
easy to mill on traditional grinding stone,easy
easy to mill on traditional grinding stone,easy
< 12%,
No glumes,no glumes
No glumes,no glumes
Little bran,Low
iron,Present
increased,high
increased,high
nutritional quality,Present
nutritional quality,Present
improved,Increased
improved,Increased
high,high
high,high
"Positive preference for increased micronutrients (Iron, Zinc, Vit A)",Increased
"Positive preference for increased micronutrients (Iron, Zinc, Vit A)",Increased
"none for home consumption, some for brewing",some
"none for home consumption, some for brewing",Present
intense,Sticky
good water holding capacity,good
good water holding capacity,good
"easy, good flour yield",good
"easy, good flour yield",good
Ease of harvest and threshing,easy
Ease of harvest and threshing,easy
easy-to-grind,easy
easy-to-grind,easy
reject soft endosperm because makes tuo sticky/less firm and deteriorates overnight (starch gel collapse),soft/floury
reject soft endosperm because makes tuo sticky/less firm and deteriorates overnight (starch gel collapse),soft/floury
Uniform chemical and physical properties,uniform
Uniform chemical and physical properties,uniform
easy dehulling,easy
easy dehulling,easy
easy dehulling,easy
easy dehulling,easy
Ease of polishing preferred,easy
Ease of polishing preferred,easy
High amount and quality of flour produced,high
High amount and quality of flour produced,high
easy,easy
easy,easy
thin and soft bran,soft/thin
thin and soft bran,soft/thin
easy to mill on traditional grinding stone,easy
easy to mill on traditional grinding stone,easy
less,low
higher than 10%,high
higher than 10%,high
"lower, 4.9 – 7.3%",low
"at least both, prefer more semolina than flour",high
"at least both, prefer more semolina than flour",high
tolerant,low
tolerant,low
low,low
low,low
low,low
low,low
High,high
high gelatinization property of the starch is preferred to make uniform elliptical shaped flakes,high
high,high
high,high
endosperm high proportion of the seed,high
endosperm high proportion of the seed,high
good,good
good,good
grain that retains its moisture,
grain that retains its moisture,
grain that retains its moisture,
long lasting,long
long lasting,long
high,high
good,good
good,good
good,good
good,good
good,good
good,good
good,good
good,good
long storage time are preferred,long
long storage time are preferred,long
long,long
long,long
Long storage,long
Long storage,long
low,low
"Unsweet, brewers provide Sweet",sweet
"Unsweet, brewers provide Sweet",sweet
"Unsweet, brewers provide Sweet",sweet
"Unsweet, brewers provide Sweet",sweet
