"variable","standard"
"Crop","Sorghum"
"VC Actor","Farmer"
"Trait","Color"
"Preference","red for beer"
"Methods","Interview"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Qualitative study"
"Software","SAS"
"Country","Benin"
"Crop","Sorghum"
"VC Actor","Farmer"
"Trait","Color"
"Preference","red for beer"
"Methods","Interview"
"Analysis","quadrant analysis method"
"Publication Type","Research article"
"Type of study","Qualitative study"
"Software","SAS"
"Country","Benin"
"Crop","Sorghum"
"VC Actor","Farmer"
"Trait","Color"
"Preference","red for beer"
"Methods","Focus group"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Qualitative study"
"Software","SAS"
"Country","Benin"
"Crop","Sorghum"
"VC Actor","Farmer"
"Trait","Color"
"Preference","red for beer"
"Methods","Focus group"
"Analysis","quadrant analysis method"
"Publication Type","Research article"
"Type of study","Qualitative study"
"Software","SAS"
"Country","Benin"
"Crop","Sorghum"
"VC Actor","Farmer"
"Trait","Color"
"Preference","red for beer"
"Methods","Observations"
"Analysis","descriptive statistics"
"Publication Type","Research article"
"Type of study","Qualitative study"
"Software","SAS"
"Country","Benin"
"Crop","Sorghum"
"VC Actor","Farmer"
"Trait","Color"
"Preference","red for beer"
"Methods","Observations"
"Analysis","quadrant analysis method"
"Publication Type","Research article"
"Type of study","Qualitative study"
"Software","SAS"
"Country","Benin"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Focus group"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Focus group"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Ranking"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Ranking"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Hedonic scale"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Hedonic scale"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Participatory plant breeding"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Participatory plant breeding"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Observations"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","White for injera making"
"Methods","Observations"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Focus group"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Focus group"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Ranking"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Ranking"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Hedonic scale"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Hedonic scale"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Participatory plant breeding"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Participatory plant breeding"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Observations"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Finger Millet"
"VC Actor","Farmer"
"Trait","Color"
"Preference","Black for beer, arki, and bread making"
"Methods","Observations"
"Analysis","pairwise ranking and direct matrix procedure"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Ethiopia"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Hedonic scale"
"Analysis","internal preference mapping"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Hedonic scale"
"Analysis","intelligence pivot table"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Hedonic scale"
"Analysis","agglomerative hierarchical clustering"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Hedonic scale"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Hedonic scale"
"Analysis","PLSR"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Sensory evaluation/taste testing"
"Analysis","internal preference mapping"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Sensory evaluation/taste testing"
"Analysis","intelligence pivot table"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Sensory evaluation/taste testing"
"Analysis","agglomerative hierarchical clustering"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Sensory evaluation/taste testing"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","Color"
"Preference","white for urban, red for rural"
"Methods","Sensory evaluation/taste testing"
"Analysis","PLSR"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Hedonic scale"
"Analysis","internal preference mapping"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Hedonic scale"
"Analysis","intelligence pivot table"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Hedonic scale"
"Analysis","agglomerative hierarchical clustering"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Hedonic scale"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Hedonic scale"
"Analysis","PLSR"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Sensory evaluation/taste testing"
"Analysis","internal preference mapping"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Sensory evaluation/taste testing"
"Analysis","intelligence pivot table"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Sensory evaluation/taste testing"
"Analysis","agglomerative hierarchical clustering"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Sensory evaluation/taste testing"
"Analysis","PCA"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Sorghum"
"VC Actor","Consumer"
"Trait","texture/carbohydrate"
"Preference","firm"
"Methods","Sensory evaluation/taste testing"
"Analysis","PLSR"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","Other: XLSTAT"
"Country","Sudan"
"Crop","Finger millet"
"VC Actor","Consumers"
"Trait","color"
"Preference","White"
"Methods","Interview"
"Analysis",NA
